Movie Name;Production_cost;Domestic_gross;Worldwide_gross;Genre
Avengers: Endgame;400000000;858373000;2797800564;Action
Pirates of the Caribbean: On Stranger Tides;379000000;241071802;1045713802;Adventure
Avengers: Age of Ultron;365000000;459005868;1395316979;Action
Star Wars Ep. VII: The Force Awakens;306000000;936662225;2064615817;Adventure
Avengers: Infinity War;300000000;678815482;2048359754;Action
Pirates of the Caribbean: At World’s End;300000000;309420425;960996492;Adventure
Justice League;300000000;229024295;655945209;Action
Spectre;300000000;200074175;879500760;Action
Star Wars: The Rise of Skywalker;275000000;515202542;1072848487;Adventure
Solo: A Star Wars Story;275000000;213767512;393151347;Adventure
John Carter;263700000;73058679;282778100;Adventure
Batman v Superman: Dawn of Justice;263000000;330360194;872395091;Action
Star Wars Ep. VIII: The Last Jedi;262000000;620181382;1331635141;Adventure
The Lion King;260000000;543638043;1647778651;Adventure
Tangled;260000000;200821936;583777242;Musical
Spider-Man 3;258000000;336530303;894860230;Adventure
Captain America: Civil War;250000000;408084349;1151918521;Action
Thor: Love and Thunder;250000000;343256830;745453552;Action
Harry Potter and the Half-Blood Prince;250000000;302089278;929411069;Adventure
The Hobbit: The Desolation of Smaug;250000000;258241522;959358436;Adventure
The Hobbit: The Battle of the Five Armies;250000000;255119788;940389558;Adventure
The Fate of the Furious;250000000;225764765;1236703796;Action
No Time to Die;250000000;160891007;760008036;Action
Avatar;237000000;785221649;2910370905;Action
Superman Returns;232000000;200120000;391081192;Adventure
The Dark Knight Rises;230000000;448139099;1082228107;Action
Pirates of the Caribbean: Dead Men Tell No Tales;230000000;172558876;794861794;Adventure
Quantum of Solace;230000000;169368427;591692078;Action
The Avengers;225000000;623357910;1515100211;Action
Pirates of the Caribbean: Dead Man’s Chest;225000000;423315812;1066179725;Adventure
Man of Steel;225000000;291045518;667999518;Action
The Chronicles of Narnia: Prince Caspian;225000000;141621490;417341288;Adventure
The Lone Ranger;225000000;89302115;260002115;Western
The Amazing Spider-Man;220000000;262030663;757890267;Adventure
Battleship;220000000;65233400;313477717;Action
Transformers: The Last Knight;217000000;130168683;602893340;Action
Jurassic World;215000000;652306625;1669979967;Action
Men in Black 3;215000000;179020854;654213485;Adventure
Transformers: Revenge of the Fallen;210000000;402111870;836519699;Action
Transformers: Age of Extinction;210000000;245439076;1104054072;Action
X-Men: The Last Stand;210000000;234362462;459260946;Action
Robin Hood;210000000;105487148;322459006;Action
King Kong;207000000;218080025;550517357;Adventure
The Golden Compass;205000000;70107728;367262558;Adventure
Tenet;205000000;58504105;362450957;Action
Spider-Man: No Way Home;200000000;814108407;1912775610;Action
Black Panther;200000000;700059566;1336494321;Action
Titanic;200000000;659363944;2207986545;Drama
Incredibles 2;200000000;608581744;1242805359;Adventure
Rogue One: A Star Wars Story;200000000;533539991;1055083596;Adventure
Finding Dory;200000000;486295561;1025006125;Adventure
Toy Story 4;200000000;434038008;1073080329;Adventure
Toy Story 3;200000000;415004880;1068879522;Adventure
Doctor Strange in the Multiverse of Madness;200000000;411331607;952224986;Action
Iron Man 3;200000000;408992272;1215392272;Action
Guardians of the Galaxy Vol 2;200000000;389813101;869113101;Action
Spider-Man 2;200000000;373524485;794697557;Adventure
The Batman;200000000;369345583;767820302;Action
Alice in Wonderland;200000000;334191110;1025491110;Adventure
Skyfall;200000000;304360277;1110526981;Action
The Hobbit: An Unexpected Journey;200000000;303003568;1014938545;Adventure
Monsters University;200000000;268488329;743455810;Adventure
Oz the Great and Powerful;200000000;234770996;490359051;Adventure
X-Men: Days of Future Past;200000000;233921534;747862775;Action
The Amazing Spider-Man 2;200000000;202853933;708996336;Action
Cars 2;200000000;191450875;560155383;Adventure
Black Widow;200000000;183651655;379751655;Action
Fast & Furious Presents: Hobbs & Shaw;200000000;173956935;760381706;Action
F9: The Fast Saga;200000000;173005945;721077945;Action
Tron: Legacy;200000000;172062763;399866199;Adventure
2012;200000000;166112167;757677748;Action
Eternals;200000000;164870264;402064929;Action
Fantastic Beasts: The Crimes of Grindelwald;200000000;159555901;648455339;Adventure
Terminator Salvation;200000000;125322469;365491792;Action
Lightyear;200000000;118307188;218571346;Adventure
Jungle Cruise;200000000;116987516;210384144;Adventure
Green Lantern;200000000;116601172;219535492;Action
Fantastic Beasts: The Secrets of Dumbledore;200000000;95850844;404560146;Adventure
Prince of Persia: Sands of Time;200000000;90759676;336359676;Action
Dark Phoenix;200000000;65845974;246356895;Action
Onward;200000000;61555145;133317030;Adventure
Wonder Woman 1984;200000000;46801036;166360232;Action
Transformers: Dark of the Moon;195000000;352390543;1123794079;Action
The Mummy;195000000;80101125;409953905;Adventure
Jack the Giant Slayer;195000000;65187603;197687603;Adventure
Furious 7;190000000;353007020;1514553486;Action
Star Trek Into Darkness;190000000;228778661;467381584;Adventure
World War Z;190000000;202706711;531861650;Action
The Great Gatsby;190000000;144840419;353640419;Drama
Disney’s A Christmas Car;190000000;137855863;315709697;Drama
Pacific Rim;190000000;101802906;411002906;Action
The Matrix Resurrections;190000000;37686805;156467817;Action
The Good Dinosaur;187500000;123087120;333771037;Adventure
Iron Man;186000000;318604126;585171547;Adventure
The Dark Knight;185000000;533720947;998615789;Action
Indiana Jones and the Kingdom of the Crystal Skull;185000000;317101119;786635413;Adventure
Brave;185000000;237282182;554606532;Adventure
Kong: Skull Island;185000000;168052812;561072059;Adventure
Star Trek Beyond;185000000;158848340;335673708;Adventure
Maleficent: Mistress of Evil;185000000;113929605;489346495;Adventure
Blade Runner 2049;185000000;92054159;258829058;Thriller/Suspense
Terminator: Dark Fate;185000000;62253077;250372367;Action
The Suicide Squad;185000000;55817425;167120232;Action
Aladdin;182000000;355559216;1046649706;Adventure
Thor: Ragnarok;180000000;315058289;850482778;Action
Maleficent;180000000;241407328;758536735;Adventure
Fantastic Beasts and Where to Find Them;180000000;234037575;811724385;Adventure
WALL-E;180000000;223808164;532508025;Adventure
Rush Hour 3;180000000;140125968;256585882;Action
The Legend of Tarzan;180000000;126643061;348902025;Adventure
Hugo;180000000;73864507;180047784;Adventure
Valerian and the City of a Thousand Planets;180000000;40479370;215098356;Adventure
Jupiter Ascending;179000000;47482519;181982519;Action
Mission: Impossible—Fallo;178000000;220159104;787176729;Action
X-Men: Apocalypse;178000000;155442489;542537546;Action
The Meg;178000000;145443742;527370715;Action
Edge of Tomorrow;178000000;100206256;367028980;Action
Captain Marvel;175000000;426829839;1129727388;Action
The Jungle Book;175000000;364001123;953554418;Adventure
Inside Out;175000000;356461711;853003563;Adventure
Spider-Man: Homecoming;175000000;334201140;878346440;Action
Suicide Squad;175000000;325100054;745744980;Action
Up;175000000;293004164;731463377;Adventure
Coco;175000000;210460015;797666425;Musical
Ralph Breaks The Internet;175000000;201091711;529290830;Adventure
Monsters vs. Aliens;175000000;198351526;381687380;Adventure
Cars 3;175000000;152901115;383541369;Adventure
G.I. Joe: The Rise of Cobra;175000000;150201498;302469017;Action
Wild Wild West;175000000;113805681;221229335;Adventure
The Mummy: Tomb of the Dragon Emperor;175000000;102491776;405760225;Adventure
Evan Almighty;175000000;100289690;174131329;Comedy
Waterworld;175000000;88246220;264246220;Action
Dolittle;175000000;77047065;251410631;Adventure
King Arthur: Legend of the Sword;175000000;39175066;139630336;Adventure
47 Ronin;175000000;38362475;151716815;Action
Top Gun: Maverick;170000000;715270567;1478823595;Action
Jurassic World: Fallen Kingdom;170000000;417719760;1308334005;Action
Guardians of the Galaxy;170000000;333714112;770882395;Action
Iron Man 2;170000000;312433331;621156389;Action
Captain America: The Winter Soldier;170000000;259746958;714401889;Action
Dawn of the Planet of the Apes;170000000;208545589;710644566;Adventure
