Movie Name;Release_year;Minutes;Movie_Rating;Votes;MetaScore
Rogue One: A Star Wars Story;2016;133;78;668814;650
Star Wars: The Rise Of Skywalker;2019;141;64;477523;530
The Water Diviner;2014;111;70;77179;500
Dancer in the Dark;2000;140;79;114368;630
Exotica;1994;103;70;20702;720
Ran;1985;160;82;132162;970
The Raid: Redemption;2011;101;76;213001;730
This Boy's Life;1993;115;73;56712;600
Life Itself;2018;117;69;23757;210
Life Stinks;1991;92;59;11091;540
Le Dîner de Cons;1998;80;76;43398;730
Denial;2016;109;68;22847;630
Good Bye Lenin!;2003;121;77;150531;680
Frances Ha;2012;86;74;90847;820
The Way of the Dragon;1972;90;72;39832;580
Secretary;2002;107;69;95948;630
Tank Girl;1995;104;54;33746;460
Irrational Man;2015;95;66;65711;530
Please Give;2010;87;66;11510;780
My Name Is Khan;2010;165;79;112756;500
I'm Not There;2007;135;68;60393;730
Pay It Forward;2000;123;72;122367;400
Blue Jasmine;2013;98;73;209728;780
Jojo Rabbit;2019;108;79;422476;580
Monster Trucks;2016;104;57;18371;410
Woman in Gold;2015;109;73;61604;510
The Informant!;2009;108;65;66543;660
Mr. Bean's Holiday;2007;90;64;131465;560
Grand Canyon;1991;134;69;16411;640
Child's Play;1988;87;66;111314;580
Amélie;2001;122;83;779097;690
Breach;2007;110;70;61208;740
Silverado;1985;133;72;47104;640
Teen Wolf;1985;91;61;57905;250
The Rite;2011;114;60;101416;380
Daylight;1996;114;59;75434;470
Dracula 2000;2000;99;49;35648;260
Friday the 13th: The Final Chapter;1984;91;60;56451;330
Friday After Next;2002;85;58;29292;350
*batteries not included;1987;106;66;37026;540
Mercury Rising;1998;111;61;76624;370
In Her Shoes;2005;130;65;64240;600
Blade Runner;1982;117;81;801595;840
Bad News Bears;2005;113;58;22433;650
Balls of Fury;2007;90;53;44147;380
Annihilation;2018;115;68;349267;790
Tommy Boy;1995;97;71;94367;460
Dreamer;2005;106;68;13836;590
The 13th Warrior;1999;102;66;129683;420
Return to Me;2000;115;69;22134;540
The Accidental Tourist;1988;121;67;16971;530
Just Friends;2005;96;62;123958;470
Hard Target;1993;97;62;54646;630
Darkness Falls;2003;86;49;32936;230
October Sky;1999;108;78;95894;710
Jungle Fever;1991;132;66;19266;780
Unfriended;2014;83;56;79633;590
Nightcrawler;2014;117;78;584009;760
Black Sheep;1996;87;62;42873;340
Love & Other Drugs;2010;112;67;216266;550
The Age of Innocence;1993;139;72;64788;900
Fist Fight;2017;91;56;44852;370
Final Fantasy: The Spirits Within;2001;106;64;83417;490
Analyze That;2002;96;59;88422;370
Stealth;2005;121;51;55572;350
How to Be a Latin Lover;2017;115;60;17120;540
Robin Hood;1973;83;75;135021;570
Mr. Magorium's Wonder Emporium;2007;93;62;47143;480
The Shadow;1994;108;60;26546;500
House of Wax;2005;113;55;131013;410
Copycat;1995;123;66;63855;540
Isle of Dogs;2018;101;78;183944;820
Shrek;2001;90;79;712081;840
The Amazing Spider-Man;2012;136;69;684858;660
How the Grinch Stole Christmas;2000;104;63;272127;460
Captain America: The Winter Soldier;2014;136;78;880415;700
Star Trek;2009;127;79;614515;820
The Sea Inside;2004;126;80;84102;740
Guru;2007;166;77;24633;700
Kika;1993;114;65;14708;530
Good Time;2017;102;73;133753;800
Pieces;1982;85;60;12125;680
The Handmaiden;2016;145;81;163305;850
Monsieur Lazhar;2011;95;75;20992;820
The Immigrant;2013;120;66;33176;770
The Frighteners;1996;110;71;93225;520
Shaft;1971;100;66;20424;660
To Rome with Love;2012;112;63;89966;540
Tremors;1990;96;71;145386;650
Missing Link;2019;93;67;28030;680
The Final Countdown;1980;103;66;26093;510
Unaccompanied Minors;2006;90;53;12149;430
Muppets from Space;1999;87;62;20292;530
Buffy the Vampire Slayer;1992;86;57;47864;480
Heart and Souls;1993;104;70;18514;560
Mary Queen of Scots;2018;124;63;53740;600
The Hitcher;2007;84;56;44609;280
Breaking Away;1979;101;77;24903;910
New York, New York;1977;155;66;21208;640
The Master;2012;138;71;182283;860
Forever My Girl;2018;108;66;20308;360
Defending Your Life;1991;112;72;20079;630
The Cowboys;1972;134;74;15468;520
Big Jake;1971;110;71;13902;570
White Oleander;2002;109;71;33542;610
A Simple Plan;1998;121;75;74250;820
Young Adult;2011;94;63;86405;710
Chances Are;1989;108;65;13355;620
Swing Vote;2008;120;61;19230;470
Cool Hand Luke;1967;127;81;184826;920
I Love You to Death;1990;97;64;15182;450
Wolf Creek;2005;99;62;76668;540
Begin Again;2013;104;74;163210;620
Mo' Better Blues;1990;130;67;13273;610
Jobs;2013;128;60;101291;440
Waiting...;2005;94;67;103403;300
The Prophecy;1995;98;64;32523;440
Death Wish 3;1985;90;58;16666;180
Fruitvale Station;2013;85;75;84630;850
Death Wish II;1982;89;60;17358;110
The Getaway;1994;115;58;19153;510
The Day of the Jackal;1973;143;78;43558;800
Westworld;1973;88;69;61659;770
Over the Top;1987;93;58;57831;400
Adventureland;2009;107;68;165785;760
Devil in a Blue Dress;1995;102;68;22656;780
Kung Pow: Enter the Fist;2002;81;62;47788;140
She's Having a Baby;1988;106;59;13573;410
The Transporter Refueled;2015;96;52;43839;320
The Raven;2012;110;64;87579;440
Grown Ups 2;2013;101;53;164346;190
